Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
linga-bhairavi-copper-pendant-large,Linga Bhairavi Copper Pendant - Large,"<div>
<h3>Product Details</h3>
<p><strong><span data-sheets-value='{""1"":2,""2"":""About Linga Bhairavi Copper Pendant :\n -Consecrated pendant of Linga Bhairavi\n -Made of pure copper\n -Features intricate representation of Devi\n -Devi yantra at the back\n \n How big is it? (in inches)\n L - 1.25\n H - 0.75\n Weight - 0.700\n \n How to wear this pendant?\n If you wish to wear this pendant with a necklace/thread of your choosing, the material must be copper, silver, gold or silk.\n Please do not wear any of the Linga Bhairavi pendants with any other metals or materials.\n The pendant can be worn by anyone of any age.""}' data-sheets-userformat='{""2"":15019,""3"":{""1"":0},""4"":{""1"":2,""2"":14281427},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""10"":0,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Calibri"",""16"":11}'>About Linga Bhairavi Copper Pendant :</span></strong></p>
<ul>
<li><span>Energized pendant of Linga Bhairavi</span></li>
<li>Made of pure copper</li>
<li>Features intricate representation of Devi</li>
<li>Devi Yantra at the back</li>
</ul>
<p><strong>How big is it?</strong></p>
<ul>
<li class="""" data-start=""140"" data-end=""172"">
<p class="""" data-start=""142"" data-end=""172""><strong data-start=""142"" data-end=""165"">Height (with hook):</strong><span> </span>4 cm</p>
</li>
<li class="""" data-start=""173"" data-end=""210"">
<p class="""" data-start=""175"" data-end=""210""><strong data-start=""175"" data-end=""201"">Height (without hook):</strong><span> </span>3.2 cm</p>
</li>
<li class="""" data-start=""211"" data-end=""234"">
<p class="""" data-start=""213"" data-end=""234""><strong data-start=""213"" data-end=""224"">Weight:</strong><span> </span>0.019 g</p>
</li>
</ul>
<p><span> </span><strong>How to wear this pendant?</strong></p>
<ul>
<li><span>If you wish to wear this pendant with a necklace/thread of your choosing, the material must be copper, silver, gold or silk.</span></li>
<li>Please do not wear any of the Linga Bhairavi pendants with any other metals or materials.</li>
<li>The pendant can be worn by anyone of any age. </li>
</ul>
</div>
<div>
<h3>Product Description</h3>
<div data-content-type=""html"" data-appearance=""default"" data-element=""main"" data-decoded=""true"">
<p><span>The emotional connect we share with the Linga Bhairavi Devi is unique and special for each and every one of us. An absolute woman of ultimate proportions, she guides us on our life journey with her mother-like grace. </span></p>
<p><span>Energized with the energies of the Divine Feminine, the Linga Bhairavi Copper Pendant is an offering dearly carried by all Isha meditators to stay close to the fierce yet compassionate energy of the Devi.   The pure copper pendant is designed exquisitely with intricate carving of the Devi in the front and the Devi Yantra at the back. You may wear it regularly with Linga Bhairavi Pendant Rope or Silver Chain to connect and benefit from the Devi’s grace</span></p>
</div>
</div>
<p> </p>",Isha Life SG,Uncategorized,Consecrated Devi - Pendants,"Consecrated, Pendants",true,Title,Default Title,,,,,,,,0111016 L,80.0,shopify,3,deny,manual,10.00,,true,false,,,,,5111016,https://cdn.shopify.com/s/files/1/0072/6994/1333/products/111016.jpg?v=1639492498,1,"",false,,,,,,,,,,,,,kg,,2.78,active
linga-bhairavi-copper-pendant-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/products/0111016-back.jpg?v=1639492499,2,"",,,,,,,,,,,,,,,,,
linga-bhairavi-copper-pendant-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/products/0111016-side.jpg?v=1639492500,3,"",,,,,,,,,,,,,,,,,
linga-bhairavi-devi-chantbox-small,Linga Bhairavi Devi ChantBox - Small,"<div>
<h3>Product Details</h3>
<ul data-start=""100"" data-end=""199"">
<li data-start=""100"" data-end=""127"">
<p data-start=""102"" data-end=""127""><strong data-start=""102"" data-end=""117"">Length (L):</strong><span> </span>2.25 in</p>
</li>
<li data-start=""128"" data-end=""153"">
<p data-start=""130"" data-end=""153""><strong data-start=""130"" data-end=""144"">Width (W):</strong><span> </span>1.5 in</p>
</li>
<li data-start=""154"" data-end=""178"">
<p data-start=""156"" data-end=""178""><strong data-start=""156"" data-end=""171"">Height (H):</strong><span> </span>4 in</p>
</li>
<li data-start=""179"" data-end=""199"">
<p data-start=""181"" data-end=""199""><strong data-start=""181"" data-end=""192"">Weight:</strong><span> </span>75 g</p>
</li>
</ul>
</div>
<div>
<h3>Product Description</h3>
<div data-content-type=""html"" data-appearance=""default"" data-element=""main"" data-decoded=""true"">
<p>Experience the powerful presence of Linga Bhairavi in your home with the Devi Chantbox. Just turn it on, and the sacred chant of the Devi Temple begins to play!</p>
<p>Sung by Sadhguru, the sacred “Linga Bhairavi Stuthi” chant, from the Bhairavi Devi Temple, allows you to receive Devi's blessings wherever you are. Immerse yourself in the presence of Devi, evoking her grace and fierce compassion. </p>
<p>Whether during your sadhana or moments of stillness, the Devi Chantbox fills your space with the same profound vibrance as the Temple, surrounding you with Devi's protective, nurturing grace and awakening a deep sense of connection with Devi.</p>
</div>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">TC0011100200</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,Religious & Ceremonial > Religious Items,Home Decor - Chant Box,"New Arrivals, Tamil",true,Title,Default Title,,,,,,,,TC0011100200,100.0,shopify,6,deny,manual,15.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/DC4.jpg?v=1768467003,1,"",false,,,,,,,,,,,,,kg,,,active
linga-bhairavi-devi-chantbox-small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/DC3.jpg?v=1768467003,2,"",,,,,,,,,,,,,,,,,
linga-bhairavi-devi-chantbox-small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/DC2.jpg?v=1768467003,3,"",,,,,,,,,,,,,,,,,
linga-bhairavi-devi-chantbox-small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/DC1.jpg?v=1768467003,4,"",,,,,,,,,,,,,,,,,
ragi-dosa-mix-200g,Ragi Dosa Mix 200g,"<div>
<h3>Product Details</h3>
<h3 data-start=""940"" data-end=""981""><strong data-start=""947"" data-end=""981"">Why Isha Life's Ragi Dosa Mix?</strong></h3>
<ul data-start=""982"" data-end=""1239"">
<li data-start=""982"" data-end=""1024"">
<p data-start=""984"" data-end=""1024"">Rich in calcium, iron, protein &amp; fiber</p>
</li>
<li data-start=""1025"" data-end=""1076"">
<p data-start=""1027"" data-end=""1076"">Urad dal helps boost energy &amp; improve digestion</p>
</li>
<li data-start=""1077"" data-end=""1105"">
<p data-start=""1079"" data-end=""1105"">Great for overall health</p>
</li>
<li data-start=""1106"" data-end=""1239"">
<p data-start=""1108"" data-end=""1239"">Read more:<span> </span><a class="""" href=""https://isha.sadhguru.org//in/en/blog/article/ragi-benefits-recipes"" data-start=""1119"" data-end=""1239"">7 Health Benefits of Ragi</a></p>
</li>
</ul>
</div>
<div>
<h3>Product Description</h3>
<div data-content-type=""row"" data-appearance=""contained"" data-element=""main"">
<div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""D2YUWK8"">
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"">
<p>A lesser-known millet, ragi (finger millet or nachani) is one of the most nutritious additions you can make in your lifestyle. As per traditional systems of medicine, ragi helps in managing blood glucose levels and cholesterol. It is also packed with antioxidants and collagen, having an anti-aging effect on your skin.</p>
<p>Isha Life's dosa mix lets you whip up savoury South Indian dosas with the goodness of ragi, urad dal (black gram) and rice.</p>
</div>
</div>
</div>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">NF0002906601</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Batter & Coating Mixes",Natural foods,New Arrivals,true,Title,Default Title,,,,,,,,NF0002906601,220.0,shopify,3,deny,manual,5.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/RD1.jpg?v=1768466660,1,"",false,,,,,,,,,,,,,kg,,,active
ragi-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/RD2.jpg?v=1768466660,2,"",,,,,,,,,,,,,,,,,
ragi-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/RD5.jpg?v=1768466660,3,"",,,,,,,,,,,,,,,,,
